"","source","target","date_followed","year","month","day"
"147",298,303,"2007-03-12 19:43:38","2007","03","12"
"148",303,298,"2007-03-12 19:43:38","2007","03","12"
"149",301,294,"2007-03-12 19:43:51","2007","03","12"
"150",294,301,"2007-03-12 19:43:51","2007","03","12"
"151",298,304,"2007-03-12 19:43:53","2007","03","12"
"152",304,298,"2007-03-12 19:43:53","2007","03","12"
"153",294,289,"2007-03-12 19:43:57","2007","03","12"
"154",289,294,"2007-03-12 19:43:57","2007","03","12"
"155",298,289,"2007-03-12 19:44:21","2007","03","12"
"156",289,298,"2007-03-12 19:44:21","2007","03","12"
"157",299,301,"2007-03-12 19:44:27","2007","03","12"
"158",301,299,"2007-03-12 19:44:27","2007","03","12"
"159",300,304,"2007-03-12 19:44:46","2007","03","12"
"160",304,300,"2007-03-12 19:44:46","2007","03","12"
"161",298,294,"2007-03-12 19:44:47","2007","03","12"
"162",294,298,"2007-03-12 19:44:47","2007","03","12"
"163",290,304,"2007-03-12 19:45:01","2007","03","12"
"164",304,290,"2007-03-12 19:45:01","2007","03","12"
"165",296,289,"2007-03-12 19:45:10","2007","03","12"
"166",289,296,"2007-03-12 19:45:10","2007","03","12"
"167",298,305,"2007-03-12 19:45:11","2007","03","12"
"168",305,298,"2007-03-12 19:45:11","2007","03","12"
"169",290,303,"2007-03-12 19:45:17","2007","03","12"
"170",303,290,"2007-03-12 19:45:17","2007","03","12"
"171",299,307,"2007-03-12 19:45:26","2007","03","12"
"172",307,299,"2007-03-12 19:45:26","2007","03","12"
"173",300,295,"2007-03-12 19:45:31","2007","03","12"
"174",295,300,"2007-03-12 19:45:31","2007","03","12"
"175",298,306,"2007-03-12 19:45:33","2007","03","12"
"176",306,298,"2007-03-12 19:45:33","2007","03","12"
"177",296,305,"2007-03-12 19:45:44","2007","03","12"
"178",305,296,"2007-03-12 19:45:44","2007","03","12"
"179",290,306,"2007-03-12 19:45:48","2007","03","12"
"180",306,290,"2007-03-12 19:45:48","2007","03","12"
"181",300,289,"2007-03-12 19:45:49","2007","03","12"
"182",289,300,"2007-03-12 19:45:49","2007","03","12"
"183",299,306,"2007-03-12 19:45:59","2007","03","12"
"184",306,299,"2007-03-12 19:45:59","2007","03","12"
"185",300,296,"2007-03-12 19:46:07","2007","03","12"
"186",296,300,"2007-03-12 19:46:07","2007","03","12"
"187",298,307,"2007-03-12 19:46:13","2007","03","12"
"188",307,298,"2007-03-12 19:46:13","2007","03","12"
"189",290,307,"2007-03-12 19:46:15","2007","03","12"
"190",307,290,"2007-03-12 19:46:15","2007","03","12"
"191",301,273,"2007-03-12 19:46:21","2007","03","12"
"192",273,301,"2007-03-12 19:46:21","2007","03","12"
"193",300,305,"2007-03-12 19:46:27","2007","03","12"
"194",305,300,"2007-03-12 19:46:27","2007","03","12"
"195",298,291,"2007-03-12 19:46:40","2007","03","12"
"196",291,298,"2007-03-12 19:46:40","2007","03","12"
"197",297,306,"2007-03-12 19:46:42","2007","03","12"
"198",306,297,"2007-03-12 19:46:42","2007","03","12"
"199",307,306,"2007-03-12 19:47:00","2007","03","12"
"200",290,308,"2007-03-12 19:47:01","2007","03","12"
"201",308,290,"2007-03-12 19:47:01","2007","03","12"
"202",288,304,"2007-03-12 19:47:02","2007","03","12"
"203",304,288,"2007-03-12 19:47:02","2007","03","12"
"204",306,292,"2007-03-12 19:47:06","2007","03","12"
"205",298,308,"2007-03-12 19:47:08","2007","03","12"
"206",308,298,"2007-03-12 19:47:08","2007","03","12"
"207",288,306,"2007-03-12 19:47:18","2007","03","12"
"208",306,288,"2007-03-12 19:47:18","2007","03","12"
"209",298,309,"2007-03-12 19:47:26","2007","03","12"
"210",309,298,"2007-03-12 19:47:26","2007","03","12"
"211",288,307,"2007-03-12 19:47:33","2007","03","12"
"212",298,144,"2007-03-12 19:47:40","2007","03","12"
"213",144,298,"2007-03-12 19:47:40","2007","03","12"
"214",297,307,"2007-03-12 19:47:53","2007","03","12"
"215",307,297,"2007-03-12 19:47:53","2007","03","12"
"216",301,293,"2007-03-12 19:47:56","2007","03","12"
"217",293,301,"2007-03-12 19:47:56","2007","03","12"
"218",290,293,"2007-03-12 19:47:57","2007","03","12"
"219",293,290,"2007-03-12 19:47:57","2007","03","12"
"220",298,153,"2007-03-12 19:48:08","2007","03","12"
"221",153,298,"2007-03-12 19:48:08","2007","03","12"
"222",290,291,"2007-03-12 19:48:26","2007","03","12"
"223",291,290,"2007-03-12 19:48:26","2007","03","12"
"224",296,273,"2007-03-12 19:48:28","2007","03","12"
"225",273,296,"2007-03-12 19:48:28","2007","03","12"
"226",297,289,"2007-03-12 19:49:11","2007","03","12"
"227",289,297,"2007-03-12 19:49:11","2007","03","12"
"228",299,289,"2007-03-12 19:49:33","2007","03","12"
"229",289,299,"2007-03-12 19:49:33","2007","03","12"
"230",299,296,"2007-03-12 19:49:55","2007","03","12"
"231",296,299,"2007-03-12 19:49:55","2007","03","12"
"232",299,293,"2007-03-12 19:50:25","2007","03","12"
"233",293,299,"2007-03-12 19:50:25","2007","03","12"
"234",299,295,"2007-03-12 19:50:43","2007","03","12"
"235",295,299,"2007-03-12 19:50:43","2007","03","12"
"236",145,146,"2007-03-12 19:51:13","2007","03","12"
"237",290,296,"2007-03-12 19:51:29","2007","03","12"
"238",296,290,"2007-03-12 19:51:29","2007","03","12"
"239",299,304,"2007-03-12 19:51:46","2007","03","12"
"240",304,299,"2007-03-12 19:51:46","2007","03","12"
"241",299,303,"2007-03-12 19:51:58","2007","03","12"
"242",303,299,"2007-03-12 19:51:58","2007","03","12"
"243",299,302,"2007-03-12 19:52:09","2007","03","12"
"244",302,299,"2007-03-12 19:52:09","2007","03","12"
"245",298,297,"2007-03-12 19:52:37","2007","03","12"
"246",297,298,"2007-03-12 19:52:37","2007","03","12"
"247",298,296,"2007-03-12 19:52:55","2007","03","12"
"248",296,298,"2007-03-12 19:52:55","2007","03","12"
"249",300,291,"2007-03-12 19:54:55","2007","03","12"
"250",291,300,"2007-03-12 19:54:55","2007","03","12"
"251",307,292,"2007-03-12 19:55:04","2007","03","12"
"252",300,307,"2007-03-12 19:55:18","2007","03","12"
"253",307,300,"2007-03-12 19:55:18","2007","03","12"
"254",300,306,"2007-03-12 19:55:32","2007","03","12"
"255",306,300,"2007-03-12 19:55:32","2007","03","12"
"256",306,273,"2007-03-12 19:55:49","2007","03","12"
"257",273,306,"2007-03-12 19:55:49","2007","03","12"
"258",300,153,"2007-03-12 19:56:02","2007","03","12"
"259",153,300,"2007-03-12 19:56:02","2007","03","12"
"260",300,308,"2007-03-12 19:57:12","2007","03","12"
"261",308,300,"2007-03-12 19:57:12","2007","03","12"
"262",295,312,"2007-03-12 19:57:53","2007","03","12"
"263",312,295,"2007-03-12 19:57:53","2007","03","12"
"264",312,293,"2007-03-12 19:57:53","2007","03","12"
"265",293,312,"2007-03-12 19:57:53","2007","03","12"
"266",300,309,"2007-03-12 19:57:57","2007","03","12"
"267",309,300,"2007-03-12 19:57:57","2007","03","12"
"268",300,303,"2007-03-12 19:58:16","2007","03","12"
"269",303,300,"2007-03-12 19:58:16","2007","03","12"
"270",304,308,"2007-03-12 19:58:38","2007","03","12"
"271",308,304,"2007-03-12 19:58:38","2007","03","12"
"272",312,294,"2007-03-12 19:58:51","2007","03","12"
"273",294,312,"2007-03-12 19:58:51","2007","03","12"
"274",300,312,"2007-03-12 19:59:57","2007","03","12"
"275",312,300,"2007-03-12 19:59:57","2007","03","12"
"276",311,312,"2007-03-12 20:00:12","2007","03","12"
"277",312,311,"2007-03-12 20:00:12","2007","03","12"
"278",288,312,"2007-03-12 20:00:17","2007","03","12"
"279",312,288,"2007-03-12 20:00:17","2007","03","12"
"280",289,312,"2007-03-12 20:00:21","2007","03","12"
"281",312,289,"2007-03-12 20:00:21","2007","03","12"
"282",298,312,"2007-03-12 20:00:35","2007","03","12"
"283",312,298,"2007-03-12 20:00:35","2007","03","12"
"284",298,311,"2007-03-12 20:00:41","2007","03","12"
"285",311,298,"2007-03-12 20:00:41","2007","03","12"
