source,target,date_followed
311,295,2007-03-12 20:01:57
295,311,2007-03-12 20:01:57
304,307,2007-03-12 20:02:08
307,304,2007-03-12 20:02:08
289,273,2007-03-12 20:02:10
273,289,2007-03-12 20:02:10
118679,51153,2008-06-16 16:39:46
115807,115498,2008-06-16 16:39:57
115807,118679,2008-06-16 16:40:06
115807,124728,2008-06-16 16:40:26
118679,11646,2008-06-16 16:40:40
118679,23951,2008-06-16 16:41:25
118679,47775,2008-06-16 16:41:34
118679,67300,2008-06-16 16:41:57
117885,34286,2008-06-16 16:46:03
124164,94333,2008-06-16 16:46:38
124164,114653,2008-06-16 16:46:55
124164,116200,2008-06-16 16:47:12
118679,46779,2008-06-16 16:47:42
124164,112059,2008-06-16 16:48:02
120333,11646,2008-06-16 16:48:21
125730,116895,2008-06-16 16:48:56
118679,66448,2008-06-16 16:49:16
118679,19581,2008-06-16 16:49:24
118679,22154,2008-06-16 16:49:40
124164,113460,2008-06-16 16:52:32
124164,97750,2008-06-16 16:52:38
95181,126594,2008-06-16 16:53:31
114373,122903,2008-06-16 16:54:20
120606,123451,2008-06-16 16:55:00
122466,72275,2008-06-16 17:02:36
122466,52446,2008-06-16 17:04:44
67626,118081,2008-06-16 17:18:34
67626,41686,2008-06-16 17:18:51
113758,59511,2008-06-16 17:19:15
113758,60154,2008-06-16 17:19:30
67626,125399,2008-06-16 17:19:58
67626,63259,2008-06-16 17:20:11
113758,106355,2008-06-16 17:22:01
86980,32452,2008-06-16 17:26:02
83960,124269,2008-06-16 17:27:27
80527,102632,2008-06-16 17:28:27
99327,85448,2008-06-16 17:30:50
124407,126362,2008-06-16 17:32:21
72275,112361,2008-06-16 17:32:52
83960,6665,2008-06-16 17:34:52
112361,72275,2008-06-16 17:35:06
72275,103258,2008-06-16 17:35:31
72275,108877,2008-06-16 17:36:43
86980,124670,2008-06-16 17:37:17
126615,116264,2008-06-16 17:40:40
83960,27677,2008-06-16 17:42:23
83960,120738,2008-06-16 17:46:47
83960,114783,2008-06-16 17:46:53
72275,120738,2008-06-16 17:47:34
89986,39126,2008-06-16 17:47:42
78963,50363,2008-06-16 17:48:31
109290,19987,2008-06-16 17:48:39
89986,21552,2008-06-16 17:49:19
40343,44215,2008-06-16 17:49:29
89986,34908,2008-06-16 17:49:48
89986,49156,2008-06-16 17:50:45
89986,47951,2008-06-16 17:51:26
89986,77320,2008-06-16 17:52:32
75299,58055,2008-06-16 17:52:43
89986,44940,2008-06-16 17:53:39
58055,75299,2008-06-16 17:54:05
89986,67298,2008-06-16 17:54:16
69917,116317,2008-06-16 17:54:29
89986,78088,2008-06-16 17:54:45
89986,23403,2008-06-16 17:55:05
106818,30464,2008-06-16 17:55:05
83960,101678,2008-06-16 17:57:18
89986,60594,2008-06-16 17:57:31
93539,169,2008-06-16 17:58:00
109290,19324,2008-06-16 17:58:10
89986,34252,2008-06-16 17:58:20
89986,52630,2008-06-16 18:01:15
89986,27208,2008-06-16 18:01:22
101678,83960,2008-06-16 18:01:24
113369,124164,2008-06-16 18:07:57
113369,97750,2008-06-16 18:08:02
113369,84815,2008-06-16 18:08:06
113369,113286,2008-06-16 18:08:11
113369,78204,2008-06-16 18:08:17
113369,112354,2008-06-16 18:08:23
113369,52804,2008-06-16 18:08:36
113369,117143,2008-06-16 18:08:40
113369,70023,2008-06-16 18:08:44
113369,124607,2008-06-16 18:08:49
113369,48072,2008-06-16 18:08:53
113369,36591,2008-06-16 18:09:01
113369,40140,2008-06-16 18:09:13
113369,39391,2008-06-16 18:09:20
113369,32374,2008-06-16 18:09:25
113369,29919,2008-06-16 18:09:31
113369,59935,2008-06-16 18:09:35
79128,61883,2008-06-16 18:15:09
113758,18583,2008-06-16 18:17:09
89986,33521,2008-06-16 18:17:35
89986,124164,2008-06-16 18:17:41
106355,113758,2008-06-16 18:18:03
89986,54779,2008-06-16 18:18:05
89986,70767,2008-06-16 18:18:22
